state,year,month,price_received
Idaho,2014,9,5.05
Idaho,2014,10,5.38
Idaho,2014,11,4.91
Idaho,2014,12,5.22
Idaho,2013,1,6.34
Idaho,2013,2,6.57
Idaho,2013,3,6.76
Idaho,2013,4,6.27
Idaho,2013,5,6.48
Idaho,2013,6,6.7
Idaho,2013,7,6.78
Idaho,2013,8,6.37
Idaho,2013,9,6.26
Idaho,2013,10,6.3
Idaho,2013,11,6.68
Idaho,2013,12,6.44
Idaho,2012,1,5.64
Idaho,2012,2,5.81
Idaho,2012,3,5.27
Idaho,2012,4,5.69
Idaho,2012,5,5.9
Idaho,2012,6,5.13
Idaho,2012,7,6.45
Idaho,2012,8,6.58
Idaho,2012,9,6.43
Idaho,2012,10,6.56
Idaho,2012,11,6.57
Idaho,2012,12,6.5
Idaho,2011,1,4
Idaho,2011,2,4.26
Idaho,2011,3,4.16
Idaho,2011,4,4.92
Idaho,2011,5,3.85
Idaho,2011,6,4.31
Idaho,2011,7,5.08
Idaho,2011,8,5.46
Idaho,2011,9,5.89
Idaho,2011,10,5.62
Idaho,2011,11,5.63
Idaho,2011,12,5.81
Idaho,2010,1,5.23
Idaho,2010,2,4.85
Idaho,2010,3,4.71
Idaho,2010,4,5.12
Idaho,2010,5,4.59
Idaho,2010,6,5.09
Idaho,2010,7,5.01
Idaho,2010,8,3.99
Idaho,2010,9,3.99
Idaho,2010,10,3.99
Idaho,2010,11,4.04
Idaho,2010,12,3.99
Idaho,2009,1,5.69
Idaho,2009,2,4.58
Idaho,2009,3,4.67
Idaho,2009,4,5.54
Idaho,2009,5,4.79
Idaho,2009,6,5.52
Idaho,2009,7,5.7
Idaho,2009,8,5.66
Idaho,2009,9,5.34
Idaho,2009,10,4.72
Idaho,2009,11,4.85
Idaho,2009,12,4.76
Idaho,2008,1,4.38
Idaho,2008,2,4.22
Idaho,2008,3,4.07
Idaho,2008,4,4.33
Idaho,2008,5,4.1
Idaho,2008,6,3.77
Idaho,2008,7,5.19
Idaho,2008,8,5.91
Idaho,2008,9,7.6
Idaho,2008,10,6.52
Idaho,2008,11,5.58
Idaho,2008,12,5.91
Idaho,2007,1,3.2
Idaho,2007,2,3.22
Idaho,2007,3,3.42
Idaho,2007,4,3.25
Idaho,2007,5,3.34
Idaho,2007,6,3.24
Idaho,2007,7,3.44
Idaho,2007,8,3.74
Idaho,2007,9,4.03
Idaho,2007,10,4.4
Idaho,2007,11,4.19
Idaho,2007,12,4.41
Idaho,2006,1,2.94
Idaho,2006,2,2.91
Idaho,2006,3,3.07
Idaho,2006,4,3
Idaho,2006,5,3.14
Idaho,2006,6,3.22
Idaho,2006,7,3.14
Idaho,2006,8,3
Idaho,2006,9,2.7
Idaho,2006,10,2.98
Idaho,2006,11,3.18
Idaho,2006,12,3.2
Idaho,2005,1,2.88
Idaho,2005,2,3.05
Idaho,2005,3,3.11
Idaho,2005,4,3.04
Idaho,2005,5,3.19
Idaho,2005,6,3.25
Idaho,2005,7,3.21
Idaho,2005,8,3.08
Idaho,2005,9,2.76
Idaho,2005,10,2.71
Idaho,2005,11,2.96
Idaho,2005,12,2.82
Idaho,2004,1,2.89
Idaho,2004,2,3.14
Idaho,2004,3,3.22
Idaho,2004,4,3.18
Idaho,2004,5,3
Idaho,2004,6,3.32
Idaho,2004,7,3.27
Idaho,2004,8,3.13
Idaho,2004,9,2.91
Idaho,2004,10,2.74
Idaho,2004,11,2.84
Idaho,2004,12,2.92
Idaho,2003,1,3.05
Idaho,2003,2,3.15
Idaho,2003,3,3.03
Idaho,2003,4,3.14
Idaho,2003,5,3.11
Idaho,2003,6,3.1
Idaho,2003,7,2.91
Idaho,2003,8,3.2
Idaho,2003,9,3.16
Idaho,2003,10,2.95
Idaho,2003,11,3.12
Idaho,2003,12,3.28
Idaho,2002,1,2.74
Idaho,2002,2,2.87
Idaho,2002,3,2.77
Idaho,2002,4,2.69
Idaho,2002,5,2.8
Idaho,2002,6,2.74
Idaho,2002,7,2.89
Idaho,2002,8,3.05
Idaho,2002,9,2.97
Idaho,2002,10,2.9
Idaho,2002,11,3.02
Idaho,2002,12,3.09
Idaho,2001,1,2.48
Idaho,2001,2,2.68
Idaho,2001,3,2.67
Idaho,2001,4,2.71
Idaho,2001,5,2.6
Idaho,2001,6,2.23
Idaho,2001,7,2.65
Idaho,2001,8,2.98
Idaho,2001,9,2.86
Idaho,2001,10,2.79
Idaho,2001,11,2.68
Idaho,2001,12,2.53
Idaho,2000,1,2.23
Idaho,2000,2,2.57
Idaho,2000,3,2.61
Idaho,2000,4,2.48
Idaho,2000,5,2.5
Idaho,2000,6,2.55
Idaho,2000,7,2.93
Idaho,2000,8,2.86
Idaho,2000,9,2.37
Idaho,2000,10,2.16
Idaho,2000,11,2.52
Idaho,2000,12,2.62
Minnesota,2021,1,4.31
Minnesota,2021,2,4.25
Minnesota,2021,3,4.22
Minnesota,2021,4,4.31
Minnesota,2021,5,4.57
Minnesota,2021,6,5.08
Minnesota,2021,7,4.63
Minnesota,2021,8,5
Minnesota,2021,9,5.25
Minnesota,2021,12,5.31
Minnesota,2020,1,4.3
Minnesota,2020,7,4.34
Minnesota,2020,8,4.4
Minnesota,2020,10,4.26
Minnesota,2019,2,4.46
Minnesota,2019,3,4.41
Minnesota,2019,8,4.48
Minnesota,2019,9,4.35
Minnesota,2019,11,4.47
Minnesota,2018,1,4.39
Minnesota,2018,2,4.39
Minnesota,2018,3,4.44
Minnesota,2018,4,4.12
Minnesota,2018,5,4.08
Minnesota,2018,7,4.03
Minnesota,2018,8,4.15
Minnesota,2018,9,4.21
Minnesota,2017,1,4.37
Minnesota,2017,2,4.22
Minnesota,2017,3,4.1
Minnesota,2017,4,3.94
Minnesota,2017,6,4.37
Minnesota,2017,7,4.2
Minnesota,2017,8,4.11
Minnesota,2017,11,4.43
Minnesota,2017,12,4.32
Minnesota,2016,1,4.99
Minnesota,2016,2,4.94
Minnesota,2016,3,5.76
Minnesota,2016,4,5.26
Minnesota,2016,5,4.26
Minnesota,2016,6,5.17
Minnesota,2016,8,2.94
Minnesota,2016,9,3.56
Minnesota,2016,10,4.16
Minnesota,2016,12,4.14
Minnesota,2015,1,5.67
Minnesota,2015,2,5.43
Minnesota,2015,3,5.24
Minnesota,2015,4,5.45
Minnesota,2015,5,4.97
Minnesota,2015,6,5.33
Minnesota,2015,7,5.33
Minnesota,2015,8,5.58
Minnesota,2015,9,5.36
Minnesota,2015,10,4.93
Minnesota,2015,11,5.28
Minnesota,2015,12,5.22
Minnesota,2014,1,6.75
Minnesota,2014,2,6.32
Minnesota,2014,4,5.5
Minnesota,2014,6,5.95
Minnesota,2014,7,5.21
Minnesota,2014,8,5.71
Minnesota,2014,9,4.97
Minnesota,2014,10,4.93
Minnesota,2014,11,5.38
Minnesota,2014,12,5.45
Minnesota,2013,5,7.04
Minnesota,2013,7,5.74
Minnesota,2013,8,6.36
Minnesota,2013,9,6.18
Minnesota,2012,4,5.03
Minnesota,2011,1,3.83
Minnesota,2011,4,4.07
Minnesota,2011,6,5.69
Minnesota,2011,7,4.9
Minnesota,2011,10,5.5
Minnesota,2010,2,4.48
Minnesota,2010,7,3.86
Minnesota,2009,7,3.54
Minnesota,2008,1,3.76
Minnesota,2008,2,4.01
Minnesota,2008,3,3.81
Minnesota,2008,4,4.76
Minnesota,2008,5,4.12
Minnesota,2008,11,4.83
Minnesota,2007,1,2.66
Minnesota,2007,2,3.12
Minnesota,2007,3,3.06
Minnesota,2007,4,2.85
Minnesota,2007,5,3.22
Minnesota,2007,6,3.16
Minnesota,2007,7,3.01
Minnesota,2007,8,3.28
Minnesota,2007,9,3.66
Minnesota,2007,10,4.53
Minnesota,2007,11,3.87
Minnesota,2007,12,3.69
Minnesota,2006,3,1.91
Minnesota,2006,7,1.91
Minnesota,2006,8,2.15
Minnesota,2006,9,2.51
Minnesota,2006,10,2.52
Minnesota,2006,11,2.66
Minnesota,2006,12,2.64
Minnesota,2005,1,2.56
Minnesota,2005,3,2.41
Minnesota,2005,4,1.94
Minnesota,2005,7,1.96
Minnesota,2004,7,2.45
Minnesota,2004,8,1.99
Minnesota,2004,9,1.64
Minnesota,2004,10,1.86
Minnesota,2004,11,2.31
Minnesota,2004,12,2.03
Minnesota,2003,1,3.04
Minnesota,2003,2,2.28
Minnesota,2003,3,2.51
Minnesota,2003,4,2.49
Minnesota,2003,5,3.09
Minnesota,2003,7,2.35
Minnesota,2003,8,2.29
Minnesota,2003,9,2.35
Minnesota,2003,11,2.65
Minnesota,2002,1,2
Minnesota,2002,2,1.83
Minnesota,2002,3,1.74
Minnesota,2002,4,2
Minnesota,2002,6,2.15
Minnesota,2002,7,1.97
Minnesota,2002,8,1.75
Minnesota,2002,9,1.93
Minnesota,2002,10,2.36
Minnesota,2002,11,2.11
Minnesota,2002,12,2.55
Minnesota,2001,1,1.8
Minnesota,2001,2,1.75
Minnesota,2001,3,1.74
Minnesota,2001,4,1.73
Minnesota,2001,5,1.62
Minnesota,2001,6,1.48
Minnesota,2001,7,1.54
Minnesota,2001,8,1.53
Minnesota,2001,9,1.45
Minnesota,2001,10,1.54
Minnesota,2001,11,1.72
Minnesota,2001,12,1.72
Minnesota,2000,1,1.68
Minnesota,2000,2,1.69
Minnesota,2000,3,1.68
Minnesota,2000,4,1.8
Minnesota,2000,5,1.75
Minnesota,2000,6,1.71
Minnesota,2000,7,1.57
Minnesota,2000,8,1.41
Minnesota,2000,9,1.49
Minnesota,2000,10,1.38
Minnesota,2000,11,1.66
Minnesota,2000,12,1.78
Montana,2022,1,6.15
Montana,2022,2,6.67
Montana,2022,3,7.18
Montana,2022,4,7.29
Montana,2022,5,7.48
Montana,2022,6,7.95
Montana,2022,7,7.16
Montana,2022,8,7.22
Montana,2022,9,7.35
Montana,2022,10,7.28
Montana,2022,11,7.09
Montana,2022,12,7.46
Montana,2021,1,4.3
Montana,2021,2,4.68
Montana,2021,3,4.5
Montana,2021,4,4.11
Montana,2021,5,4.35
Montana,2021,6,4.39
Montana,2021,7,4.68
Montana,2021,8,4.9
Montana,2021,9,5.38
Montana,2021,10,5.24
Montana,2021,11,5.09
Montana,2021,12,5.65
Montana,2020,1,4.54
Montana,2020,2,4.21
Montana,2020,3,4.66
Montana,2020,4,3.95
Montana,2020,5,3.77
Montana,2020,6,3.71
Montana,2020,7,3.9
Montana,2020,8,4.45
Montana,2020,9,4.35
Montana,2020,10,4.49
Montana,2020,11,4.52
Montana,2020,12,4.35
Montana,2019,1,4.48
Montana,2019,2,4.4
Montana,2019,3,4.65
Montana,2019,4,4.67
Montana,2019,6,4.21
Montana,2019,7,3.55
Montana,2019,8,4.78
Montana,2019,9,4.29
Montana,2019,10,4.43
Montana,2019,11,4.38
Montana,2019,12,4.26
Montana,2018,1,4.34
Montana,2018,2,4.05
Montana,2018,3,4.49
Montana,2018,4,4.32
Montana,2018,5,4.51
Montana,2018,6,3.94
Montana,2018,7,3.59
Montana,2018,8,4.53
Montana,2018,9,4.89
Montana,2018,10,4.17
Montana,2018,11,4.94
Montana,2018,12,4.62
Montana,2017,1,5.1
Montana,2017,2,5.15
Montana,2017,3,5.01
Montana,2017,4,5.15
Montana,2017,5,5.01
Montana,2017,6,4.19
Montana,2017,7,4.48
Montana,2017,8,4.63
Montana,2017,9,4.02
Montana,2017,10,3.8
Montana,2017,11,4.27
Montana,2017,12,4.21
Montana,2016,1,5.88
Montana,2016,2,5.97
Montana,2016,3,5.4
Montana,2016,4,5.22
Montana,2016,6,4.37
Montana,2016,7,5.22
Montana,2016,8,5.28
Montana,2016,9,5.16
Montana,2016,10,5.26
Montana,2016,11,4.93
Montana,2016,12,5.19
Montana,2015,1,4.6
Montana,2015,2,5.05
Montana,2015,3,4.65
Montana,2015,4,5.07
Montana,2015,5,4.45
Montana,2015,6,4.82
Montana,2015,7,5.31
Montana,2015,8,5.78
Montana,2015,9,6.19
Montana,2015,10,5.85
Montana,2015,11,5.86
Montana,2015,12,6.06
Montana,2014,1,6.49
Montana,2014,2,6.38
Montana,2014,3,6.14
Montana,2014,4,5.82
Montana,2014,5,5.62
Montana,2014,6,5.95
Montana,2014,7,5.53
Montana,2014,8,6.02
Montana,2014,9,5.36
Montana,2014,10,5.54
Montana,2014,11,4.98
Montana,2014,12,4.9
Montana,2013,1,6.52
Montana,2013,2,6.49
Montana,2013,3,6.34
Montana,2013,4,6.32
Montana,2013,5,6.46
Montana,2013,6,6.31
Montana,2013,7,6.38
Montana,2013,8,6.68
Montana,2013,9,6.25
Montana,2013,10,6.35
Montana,2013,11,6.23
Montana,2013,12,6.17
Montana,2012,1,5.12
Montana,2012,2,5.04
Montana,2012,3,5.51
Montana,2012,4,6.02
Montana,2012,5,5.51
Montana,2012,6,5.77
Montana,2012,7,6.21
Montana,2012,8,6.55
Montana,2012,9,6.43
Montana,2012,10,6.48
Montana,2012,11,6.48
Montana,2012,12,6.29
Montana,2011,1,3.91
Montana,2011,2,3.99
Montana,2011,3,4.28
Montana,2011,4,4.43
Montana,2011,5,4.17
Montana,2011,6,4.55
Montana,2011,7,4.96
Montana,2011,8,5.06
Montana,2011,9,5.23
Montana,2011,10,5.54
Montana,2011,11,5.31
Montana,2011,12,5.33
Montana,2010,1,4.95
Montana,2010,2,4.75
Montana,2010,3,4.41
Montana,2010,4,4.22
Montana,2010,5,4.86
Montana,2010,6,4.28
Montana,2010,7,3.91
Montana,2010,8,4.26
Montana,2010,9,3.83
Montana,2010,10,3.57
Montana,2010,11,3.83
Montana,2010,12,3.7
Montana,2009,1,5.55
Montana,2009,2,5.56
Montana,2009,3,5.39
Montana,2009,4,5.3
Montana,2009,5,5.05
Montana,2009,6,4.83
Montana,2009,7,5.82
Montana,2009,8,5.76
Montana,2009,9,5.21
Montana,2009,10,4.92
Montana,2009,11,4.51
Montana,2009,12,4.76
Montana,2008,1,4.78
Montana,2008,2,4.39
Montana,2008,3,4.23
Montana,2008,4,4.65
Montana,2008,5,5.28
Montana,2008,6,4.11
Montana,2008,7,5.55
Montana,2008,8,5.67
Montana,2008,9,5.89
Montana,2008,10,6.25
Montana,2008,11,6.25
Montana,2008,12,6.05
Montana,2007,1,3.15
Montana,2007,2,3.17
Montana,2007,3,3.28
Montana,2007,4,3.28
Montana,2007,5,3.18
Montana,2007,6,3.22
Montana,2007,7,3.77
Montana,2007,8,3.59
Montana,2007,9,3.74
Montana,2007,10,4.26
Montana,2007,11,3.73
Montana,2007,12,5.05
Montana,2006,1,2.65
Montana,2006,2,2.76
Montana,2006,3,3.04
Montana,2006,4,2.82
Montana,2006,5,3.21
Montana,2006,6,2.95
Montana,2006,7,2.6
Montana,2006,8,2.87
Montana,2006,9,2.78
Montana,2006,10,2.81
Montana,2006,11,2.9
Montana,2006,12,3.05
Montana,2005,1,2.77
Montana,2005,2,2.77
Montana,2005,3,2.72
Montana,2005,4,2.84
Montana,2005,5,2.8
Montana,2005,6,2.91
Montana,2005,7,2.97
Montana,2005,8,3.04
Montana,2005,9,2.68
Montana,2005,10,2.73
Montana,2005,11,2.89
Montana,2005,12,2.85
Montana,2004,1,2.52
Montana,2004,2,2.98
Montana,2004,3,3.01
Montana,2004,4,2.86
Montana,2004,5,2.81
Montana,2004,6,2.45
Montana,2004,7,1.92
Montana,2004,8,3.11
Montana,2004,9,2.93
Montana,2004,10,2.62
Montana,2004,11,2.92
Montana,2004,12,2.89
Montana,2003,1,2.82
Montana,2003,2,2.8
Montana,2003,3,2.95
Montana,2003,4,2.88
Montana,2003,5,2.44
Montana,2003,6,2.26
Montana,2003,7,2.95
Montana,2003,8,3.14
Montana,2003,9,3.03
Montana,2003,10,2.68
Montana,2003,11,2.57
Montana,2003,12,3.03
Montana,2002,1,2.62
Montana,2002,2,2.73
Montana,2002,3,2.52
Montana,2002,4,2.49
Montana,2002,5,2.5
Montana,2002,6,2.34
Montana,2002,7,2.61
Montana,2002,8,3.07
Montana,2002,9,2.77
Montana,2002,10,2.77
Montana,2002,11,2.79
Montana,2002,12,2.96
Montana,2001,1,2.39
Montana,2001,2,2.48
Montana,2001,3,2.27
Montana,2001,4,2.15
Montana,2001,5,2.02
Montana,2001,6,2.04
Montana,2001,7,2.55
Montana,2001,8,2.91
Montana,2001,9,2.5
Montana,2001,10,2.56
Montana,2001,11,2.69
Montana,2001,12,2.72
Montana,2000,1,2.32
Montana,2000,2,2.33
Montana,2000,3,2.38
Montana,2000,4,2.27
Montana,2000,5,2.17
Montana,2000,6,1.77
Montana,2000,7,2.79
Montana,2000,8,2.38
Montana,2000,9,1.94
Montana,2000,10,2.34
Montana,2000,11,2.38
Montana,2000,12,2.57
North Dakota,2022,1,5.43
North Dakota,2022,2,5.47
North Dakota,2022,3,5.75
North Dakota,2022,4,5.71
North Dakota,2022,5,6.17
North Dakota,2022,6,6.1
North Dakota,2022,7,5.91
North Dakota,2022,8,7.23
North Dakota,2022,9,7.52
North Dakota,2022,10,7.58
North Dakota,2022,11,7.37
North Dakota,2022,12,7.08
North Dakota,2021,1,4.54
North Dakota,2021,2,4.86
North Dakota,2021,3,4.85
North Dakota,2021,4,4.73
North Dakota,2021,5,4.56
North Dakota,2021,6,4.95
North Dakota,2021,7,4.87
North Dakota,2021,8,5.21
North Dakota,2021,9,5.15
North Dakota,2021,10,5.65
North Dakota,2021,11,5.26
North Dakota,2021,12,5.42
North Dakota,2020,1,4.26
North Dakota,2020,2,4.16
North Dakota,2020,3,4.06
North Dakota,2020,4,4.17
North Dakota,2020,5,3.79
North Dakota,2020,6,3.9
North Dakota,2020,7,4.05
North Dakota,2020,8,4.05
North Dakota,2020,9,4.59
North Dakota,2020,10,4.28
North Dakota,2020,11,4.64
North Dakota,2020,12,4.85
North Dakota,2019,1,4.18
North Dakota,2019,2,4.3
North Dakota,2019,3,4.37
North Dakota,2019,4,4.29
North Dakota,2019,5,4.19
North Dakota,2019,6,4.45
North Dakota,2019,7,4.22
North Dakota,2019,8,4.11
North Dakota,2019,9,4.06
North Dakota,2019,10,4.27
North Dakota,2019,11,4.65
North Dakota,2019,12,4.2
North Dakota,2018,1,4.43
North Dakota,2018,2,4.44
North Dakota,2018,3,4.3
North Dakota,2018,4,4.13
North Dakota,2018,5,4.13
North Dakota,2018,6,4.45
North Dakota,2018,7,4.18
North Dakota,2018,8,4.15
North Dakota,2018,9,4.11
North Dakota,2018,10,4.05
North Dakota,2018,11,4.4
North Dakota,2018,12,4.26
North Dakota,2017,1,4.63
North Dakota,2017,2,4.62
North Dakota,2017,3,4.37
North Dakota,2017,4,4.24
North Dakota,2017,5,4.36
North Dakota,2017,6,4.35
North Dakota,2017,7,4.34
North Dakota,2017,8,4.23
North Dakota,2017,9,4.18
North Dakota,2017,10,4.43
North Dakota,2017,11,4.22
North Dakota,2017,12,4.32
North Dakota,2016,1,4.76
North Dakota,2016,2,4.79
North Dakota,2016,3,4.97
North Dakota,2016,4,4.87
North Dakota,2016,5,5
North Dakota,2016,6,5.26
North Dakota,2016,7,4.75
North Dakota,2016,8,4.04
North Dakota,2016,9,4.44
North Dakota,2016,10,4.26
North Dakota,2016,11,4.59
North Dakota,2016,12,5.1
North Dakota,2015,1,5.29
North Dakota,2015,2,5.2
North Dakota,2015,3,5.08
North Dakota,2015,4,5.09
North Dakota,2015,5,5.16
North Dakota,2015,6,5.4
